s,label,comment
http://psi.udir.no/ontologi/kl06/benyttes-paa-aarstrinn,benyttes på årstrinn,Egenskap for kompetansemålsett for å angi hvilke(t) årstrinn det benyttes på
http://psi.udir.no/ontologi/kl06/benyttes-paa-aarstrinn,benyttes på årstrinn,"Property for ""kompetansemaalsett"" (competence aim set) to specify which ""aarstrinn"" (year level(s)) it is used for"
http://psi.udir.no/ontologi/kl06/benyttes-paa-aarstrinn,taught in year levels,Egenskap for kompetansemålsett for å angi hvilke(t) årstrinn det benyttes på
http://psi.udir.no/ontologi/kl06/benyttes-paa-aarstrinn,taught in year levels,"Property for ""kompetansemaalsett"" (competence aim set) to specify which ""aarstrinn"" (year level(s)) it is used for"
http://psi.udir.no/ontologi/kl06/benyttes-sammen-med,benyttes sammen med,"Attribute for ""fagkode"" (subject code) that shows which other subject codes that are part of the overall assessment of the same subject (where there are several within the same ""opplaeringsfag"" (teaching subject))"
http://psi.udir.no/ontologi/kl06/benyttes-sammen-med,benyttes sammen med,Egenskap for fagkode som viser hvilke andre fagkoder som inngår i helhetsvurderingen av samme fag (der det er flere innenfor samme opplaeringsfag)
http://psi.udir.no/ontologi/kl06/benyttes-sammen-med,used together with,"Attribute for ""fagkode"" (subject code) that shows which other subject codes that are part of the overall assessment of the same subject (where there are several within the same ""opplaeringsfag"" (teaching subject))"
http://psi.udir.no/ontologi/kl06/benyttes-sammen-med,used together with,Egenskap for fagkode som viser hvilke andre fagkoder som inngår i helhetsvurderingen av samme fag (der det er flere innenfor samme opplaeringsfag)
http://psi.udir.no/ontologi/kl06/bygger-paa,based on,Attribute to competence aims to specify progression between competence aims
http://psi.udir.no/ontologi/kl06/bygger-paa,based on,Egenskap for kompetansemål for angi progresjon mellom kompetansemål
http://psi.udir.no/ontologi/kl06/bygger-paa,bygger på,Attribute to competence aims to specify progression between competence aims
http://psi.udir.no/ontologi/kl06/bygger-paa,bygger på,Egenskap for kompetansemål for angi progresjon mellom kompetansemål
http://psi.udir.no/ontologi/kl06/bygger-paa-fag,based on subject(s),Egenskap for fagkode og opplæringsfag for å angi hvilken av samme type som dette elementet bygger på
http://psi.udir.no/ontologi/kl06/bygger-paa-fag,based on subject(s),"Property for ""fagkode"" (subject code) and ""opplaeringsfag"" (teaching subject) to specify on which of the same type this specific item is based"
http://psi.udir.no/ontologi/kl06/bygger-paa-fag,bygger på fag,Egenskap for fagkode og opplæringsfag for å angi hvilken av samme type som dette elementet bygger på
http://psi.udir.no/ontologi/kl06/bygger-paa-fag,bygger på fag,"Property for ""fagkode"" (subject code) and ""opplaeringsfag"" (teaching subject) to specify on which of the same type this specific item is based"
http://psi.udir.no/ontologi/kl06/bygger-paa-programomraade,based on programme area,Egenskap for programområde som angir hvilke(t) programområde(r) programområdet bygger på
http://psi.udir.no/ontologi/kl06/bygger-paa-programomraade,based on programme area,"Property for ""programomraade"" (programme area) indicating what/which programme area(s) the programme area is based"
http://psi.udir.no/ontologi/kl06/bygger-paa-programomraade,bygger på programområde,Egenskap for programområde som angir hvilke(t) programområde(r) programområdet bygger på
http://psi.udir.no/ontologi/kl06/bygger-paa-programomraade,bygger på programområde,"Property for ""programomraade"" (programme area) indicating what/which programme area(s) the programme area is based"
http://psi.udir.no/ontologi/kl06/dokumenttype,document type,Egenskap for merknad for å angi om den gjelder for enten “Vitnemål” eller “Kompetansebevis”
http://psi.udir.no/ontologi/kl06/dokumenttype,document type,"Property for notice (""merknad"") to specify whether it applies to either ""diploma"" or ""certificate of competence/vocational training certificate"""
http://psi.udir.no/ontologi/kl06/dokumenttype,dokumenttype,Egenskap for merknad for å angi om den gjelder for enten “Vitnemål” eller “Kompetansebevis”
http://psi.udir.no/ontologi/kl06/dokumenttype,dokumenttype,"Property for notice (""merknad"") to specify whether it applies to either ""diploma"" or ""certificate of competence/vocational training certificate"""
http://psi.udir.no/ontologi/kl06/erstatter,erstatter,Egenskap for flere typer elementer for å angi hvilke(t) element(er) av samme type dette elementet erstatter
