s,label,comment
http://psi.udir.no/ontologi/kl06/Aarstrinn,Year level,Educational level indicating progression for the the thirteen years of primary and secondary education
http://psi.udir.no/ontologi/kl06/Aarstrinn,Year level,Utdanningsnivå som angir progresjon for det 13-årige utdanningsløpet
http://psi.udir.no/ontologi/kl06/Aarstrinn,Årstrinn,Educational level indicating progression for the the thirteen years of primary and secondary education
http://psi.udir.no/ontologi/kl06/Aarstrinn,Årstrinn,Utdanningsnivå som angir progresjon for det 13-årige utdanningsløpet
http://psi.udir.no/ontologi/kl06/Dokumenttype,Document type,"Klasse som fungerer som egenskap for merknad for å angi om den gjelder for enten ""Vitnemål"" eller ""Kompetansebevis"""
http://psi.udir.no/ontologi/kl06/Dokumenttype,Document type,"Property for notice (""merknad"") to specify whether it applies to either ""diploma"" or ""certificate of competence/vocational training certificate"""
http://psi.udir.no/ontologi/kl06/Dokumenttype,Dokumenttype,"Klasse som fungerer som egenskap for merknad for å angi om den gjelder for enten ""Vitnemål"" eller ""Kompetansebevis"""
http://psi.udir.no/ontologi/kl06/Dokumenttype,Dokumenttype,"Property for notice (""merknad"") to specify whether it applies to either ""diploma"" or ""certificate of competence/vocational training certificate"""
http://psi.udir.no/ontologi/kl06/Eksamensform,Eksamensform,Element for å angi hvilken eksamensform som skal påføres vitnemålet
http://psi.udir.no/ontologi/kl06/Eksamensform,Eksamensform,Element to specify the examination form to be applied the certificate/testimony
http://psi.udir.no/ontologi/kl06/Eksamensform,examination-form to certificate,Element for å angi hvilken eksamensform som skal påføres vitnemålet
http://psi.udir.no/ontologi/kl06/Eksamensform,examination-form to certificate,Element to specify the examination form to be applied the certificate/testimony
http://psi.udir.no/ontologi/kl06/Eksamensordning,Eksamensordning,"Element for ""vurderingsordning"" (examination-and-assesment) to specify what type of ""ekamensordning"" (examination arrangement) applicable to students and external candidates"
http://psi.udir.no/ontologi/kl06/Eksamensordning,Eksamensordning,Element for å angi hva slags eksamensordning som gjelder for elever og privatister
http://psi.udir.no/ontologi/kl06/Eksamensordning,Type of examination arrangement,"Element for ""vurderingsordning"" (examination-and-assesment) to specify what type of ""ekamensordning"" (examination arrangement) applicable to students and external candidates"
http://psi.udir.no/ontologi/kl06/Eksamensordning,Type of examination arrangement,Element for å angi hva slags eksamensordning som gjelder for elever og privatister
http://psi.udir.no/ontologi/kl06/Fagkategori,Fagketegori,"Class used as tttribute for ""fagomraade"" (subject area) to specify a hierarchically parent academic content category (for statistical purposes)"
http://psi.udir.no/ontologi/kl06/Fagkategori,Fagketegori,"Klasse, brukt som egenskap for fagområde for å angi hierarkisk overordnet faglig innholdskategori (for statistisk bruk)"
http://psi.udir.no/ontologi/kl06/Fagkategori,Subject category,"Class used as tttribute for ""fagomraade"" (subject area) to specify a hierarchically parent academic content category (for statistical purposes)"
http://psi.udir.no/ontologi/kl06/Fagkategori,Subject category,"Klasse, brukt som egenskap for fagområde for å angi hierarkisk overordnet faglig innholdskategori (for statistisk bruk)"
http://psi.udir.no/ontologi/kl06/Fagkode,Fagkode,"Element som fungerer som identifikator for et fag eller del av et fag, for presist å kunne angi opplæring, eksamensgjennomføring, vurdering og dokumentasjon, for eksempel MAT0011 ""Matematikk 10.årstrinn, muntlig"""
http://psi.udir.no/ontologi/kl06/Fagkode,Fagkode,"Element that acts as an identifier for a subject or single part of a subject, for precisely to enter training, examination implementation, evaluation and documentation, such as MAT0011 ""Mathematics 10. year level, orally exam"""
http://psi.udir.no/ontologi/kl06/Fagkode,Subject code,"Element som fungerer som identifikator for et fag eller del av et fag, for presist å kunne angi opplæring, eksamensgjennomføring, vurdering og dokumentasjon, for eksempel MAT0011 ""Matematikk 10.årstrinn, muntlig"""
http://psi.udir.no/ontologi/kl06/Fagkode,Subject code,"Element that acts as an identifier for a subject or single part of a subject, for precisely to enter training, examination implementation, evaluation and documentation, such as MAT0011 ""Mathematics 10. year level, orally exam"""
http://psi.udir.no/ontologi/kl06/Fagomraade,Fagområde,Grouping opplaeringsfag (teaching subjects) in academic content categories under topic categories (see fagkategorier) for statistical purposes
http://psi.udir.no/ontologi/kl06/Fagomraade,Fagområde,Gruppering av opplæringsfag i faglige innholdskategorier under fagketegorier (se fagkategori) for statistisk bruk
http://psi.udir.no/ontologi/kl06/Fagomraade,Subject area,Grouping opplaeringsfag (teaching subjects) in academic content categories under topic categories (see fagkategorier) for statistical purposes
http://psi.udir.no/ontologi/kl06/Fagomraade,Subject area,Gruppering av opplæringsfag i faglige innholdskategorier under fagketegorier (se fagkategori) for statistisk bruk
http://psi.udir.no/ontologi/kl06/Fagtype,Fagtype,Grouping subjects according to Circular Udir-1-[a certain year]
http://psi.udir.no/ontologi/kl06/Fagtype,Fagtype,Gruppering av fag etter Rundskriv Udir-1-[et gitt årstall]
http://psi.udir.no/ontologi/kl06/Fagtype,Subject type,Grouping subjects according to Circular Udir-1-[a certain year]
http://psi.udir.no/ontologi/kl06/Fagtype,Subject type,Gruppering av fag etter Rundskriv Udir-1-[et gitt årstall]
http://psi.udir.no/ontologi/kl06/Grunnleggende_ferdighet_lk20,Basic skill,"A subset of the total competence in subjects that involves in showing the five of the selected skills: Literacy, being able to write, numeracy, oral and digital skills"
http://psi.udir.no/ontologi/kl06/Grunnleggende_ferdighet_lk20,Basic skill,"Den delmengden av den totale kompetansen i fag som handler å vise de fem utvalgte ferdighetene: Å kunne lese, å kunne skrive, å kunne regne, muntlige og digitale ferdiheter"
http://psi.udir.no/ontologi/kl06/Grunnleggende_ferdighet_lk20,Grunnleggende ferdighet,"A subset of the total competence in subjects that involves in showing the five of the selected skills: Literacy, being able to write, numeracy, oral and digital skills"
http://psi.udir.no/ontologi/kl06/Grunnleggende_ferdighet_lk20,Grunnleggende ferdighet,"Den delmengden av den totale kompetansen i fag som handler å vise de fem utvalgte ferdighetene: Å kunne lese, å kunne skrive, å kunne regne, muntlige og digitale ferdiheter"
http://psi.udir.no/ontologi/kl06/Hovedomraade,Hovedområde,Delmengde av læreplan (LK06) for inndeling av det faglige innholdet i logiske blokker
http://psi.udir.no/ontologi/kl06/Hovedomraade,Hovedområde,Part of curriculum (LK06) for division of the academic content into logical blocks
http://psi.udir.no/ontologi/kl06/Hovedomraade,Main area,Delmengde av læreplan (LK06) for inndeling av det faglige innholdet i logiske blokker
http://psi.udir.no/ontologi/kl06/Hovedomraade,Main area,Part of curriculum (LK06) for division of the academic content into logical blocks
http://psi.udir.no/ontologi/kl06/Karakter,Grade,"Class in Grep, used by other systems as a authority register to indicate legal character expressions in documentation (certificates etc.), e.g. ""PASSED"", ""FIVE"", ""FAILED"""
http://psi.udir.no/ontologi/kl06/Karakter,Grade,"Grep-type som brukes av andre systemer som autoritetsregister til å angi lovlige karakteruttrykk i dokumentasjon (vitnemål o.l), f.eks. ""BESTÅTT"", ""FEM"", ""IKKE BESTÅTT"""
http://psi.udir.no/ontologi/kl06/Karakter,Karakter,"Class in Grep, used by other systems as a authority register to indicate legal character expressions in documentation (certificates etc.), e.g. ""PASSED"", ""FIVE"", ""FAILED"""
http://psi.udir.no/ontologi/kl06/Karakter,Karakter,"Grep-type som brukes av andre systemer som autoritetsregister til å angi lovlige karakteruttrykk i dokumentasjon (vitnemål o.l), f.eks. ""BESTÅTT"", ""FEM"", ""IKKE BESTÅTT"""
http://psi.udir.no/ontologi/kl06/Kjerneelement_lk20,Core element,"Element som sammen med de andre i samme læreplan, uttrykker hva som er det viktigste i faget og hva elevene/lærlingene/praksiskandidatene må lære for å mestre og bruke faget (kan være kunnskapsområder, metoder, begreper, tenkemåter og uttrykksformer)"
http://psi.udir.no/ontologi/kl06/Kjerneelement_lk20,Core element,"Element which, together with the others in the same curriculum, expresses what is most important in the subject and what the students/apprentices/practice candidates must learn in order to master and use the subject (can be areas of knowledge, methods, concepts, ways of thinking and forms of expression)"
http://psi.udir.no/ontologi/kl06/Kjerneelement_lk20,Kjerneelement,"Element som sammen med de andre i samme læreplan, uttrykker hva som er det viktigste i faget og hva elevene/lærlingene/praksiskandidatene må lære for å mestre og bruke faget (kan være kunnskapsområder, metoder, begreper, tenkemåter og uttrykksformer)"
http://psi.udir.no/ontologi/kl06/Kjerneelement_lk20,Kjerneelement,"Element which, together with the others in the same curriculum, expresses what is most important in the subject and what the students/apprentices/practice candidates must learn in order to master and use the subject (can be areas of knowledge, methods, concepts, ways of thinking and forms of expression)"
http://psi.udir.no/ontologi/kl06/Kompetansemaal,Competence aim (LK06),Element (for curricula in LK06) which indicates a subset of the competence a student/apprentice/practice candidate must have achieved after completing training at a given level/year-level
http://psi.udir.no/ontologi/kl06/Kompetansemaal,Competence aim (LK06),Element (for læreplaner i LK06) som angir en delmengde av den kompetanse en elev/lærling/praksiskandidat skal ha oppnådd etter endt opplæring på et gitt nivå/trinn
http://psi.udir.no/ontologi/kl06/Kompetansemaal,Kompetansemål (LK06),Element (for curricula in LK06) which indicates a subset of the competence a student/apprentice/practice candidate must have achieved after completing training at a given level/year-level
http://psi.udir.no/ontologi/kl06/Kompetansemaal,Kompetansemål (LK06),Element (for læreplaner i LK06) som angir en delmengde av den kompetanse en elev/lærling/praksiskandidat skal ha oppnådd etter endt opplæring på et gitt nivå/trinn
http://psi.udir.no/ontologi/kl06/Kompetansemaal_lk20,Competence aim (LK20),Element (for curricula in LK20) which indicates a subset of the competence a student/apprentice/practice candidate/participant must have achieved after completing training at a given level/year-level
http://psi.udir.no/ontologi/kl06/Kompetansemaal_lk20,Competence aim (LK20),Element (for læreplaner i LK20) som angir en delmengde av den kompetanse en elev/lærling/praksiskandidat/deltaker skal ha oppnådd etter endt opplæring på et gitt nivå/trinn
http://psi.udir.no/ontologi/kl06/Kompetansemaal_lk20,Kompetansemål (LK20),Element (for curricula in LK20) which indicates a subset of the competence a student/apprentice/practice candidate/participant must have achieved after completing training at a given level/year-level
http://psi.udir.no/ontologi/kl06/Kompetansemaal_lk20,Kompetansemål (LK20),Element (for læreplaner i LK20) som angir en delmengde av den kompetanse en elev/lærling/praksiskandidat/deltaker skal ha oppnådd etter endt opplæring på et gitt nivå/trinn
http://psi.udir.no/ontologi/kl06/Kompetansemaalsett,Kompetansemålsett (LK06),"A set of competence aims, grouped under the main areas, applies to a specified set of steps or levels in LK06-curricula"
